Req ID,Section,Page,Paragraph,Requirement Text,Compliance Type,Category,Priority,Risk,Compliance Status,Proposal Section,Proposal Page,Assigned To,Assignee Type,Assignee Name,Keywords,Notes,Due Date
C-011,C,,3.3.3,"The system should support real-time data sharing across coalition partner
networks when authorized by appropriate security authorities.",mandatory,technical,high,red,not_started,,,,,,"[""real-time data sharing"", ""coalition partner networks"", ""security authorities""]",,
C-012,C,,3.4.1,"The system shall support concurrent access by at least 10,000 authenticated
users without performance degradation.",mandatory,technical,high,red,not_started,,,,,,"[""concurrent access"", ""authenticated users"", ""performance degradation""]",,
C-013,C,,3.4.2,"Database query response times must not exceed 100 milliseconds for 95% of
transactions under normal load conditions.

3.4.
e times must not exceed 100 milliseconds for 95% of
transactions under normal load conditions.",mandatory,technical,high,red,not_started,,,,,,"[""query response time"", ""95%"", ""milliseconds""]",,
C-014,C,,3.4.3,"The architecture shall be designed to scale horizontally to accommodate
50% growth in user base and data volume within 24 hours.",mandatory,technical,high,red,not_started,,,,,,"[""scaling"", ""horizontal scalability"", ""user base"", ""data volume"", ""24 hours""]",,
C-015,C,,3.5.1,"The contractor shall implement automated backup procedures with recovery
point objective (RPO) of 15 minutes and recovery time objective (RTO) of 1 hour
for mission-critical data.",mandatory,technical,high,red,not_started,,,,,,"[""backup"", ""RPO"", ""RTO"", ""mission-critical""]",,
C-016,C,,3.5.2,"Data retention policies must comply with DoD 5015.2 STD records management
requirements.",mandatory,compliance,high,red,not_started,,,,,,"[""Data retention policies"", ""DoD 5015.2 STD records management""]",,
C-017,C,,3.5.3,"The system should provide audit logging capabilities that capture all user
actions with tamper-evident storage for minimum 7 years.",mandatory,technical,high,red,not_started,,,,,,"[""audit logging"", ""tamper-evident storage"", ""user actions"", ""7 years""]",,
C-018,C,,4.1.1,"The contractor shall provide 24x7x365 technical support with tier 1 response
within 15 minutes for critical incidents.",mandatory,technical,high,red,not_started,,,,,,"[""24x7x365"", ""tier 1"", ""response within 15 minutes"", ""critical incidents""]",,
C-019,C,,4.1.2,"A dedicated program manager must be available during normal business hours
(0800-1700 EST) Monday through Friday excluding federal holidays.
lable during normal business hours
(0800-1700 EST) Monday through Friday excluding federal holidays.",mandatory,management,high,red,not_started,,,,,,"[""program manager"", ""normal business hours"", ""federal holidays""]",,
C-020,C,,4.1.3,"The contractor should maintain a knowledge base of common issues and
resolutions accessible to both support staff and end users.",mandatory,management,high,red,not_started,,,,,,"[""knowledge base"", ""common issues"", ""resolutions"", ""support staff"", ""end users""]",,
C-021,C,,4.2.1,"Security patches shall be evaluated within 48 hours of vendor release and
deployed to production within 14 days following successful testing.",mandatory,technical,high,red,not_started,,,,,,"[""security patches"", ""evaluation"", ""deployment"", ""48 hours"", ""14 days""]",,
C-022,C,,4.2.2,"System maintenance windows may be scheduled monthly during off-peak hours
(0200-0600 EST) with 72-hour advance notice to government representatives.",mandatory,management,high,red,not_started,,,,,,"[""maintenance windows"", ""off-peak hours"", ""advance notice""]",,
C-023,C,,4.3.1,"The contractor shall develop and maintain comprehensive system documentation
including architecture diagrams, standard operating procedures, and troubleshooting
guides.",mandatory,deliverable,high,red,not_started,,,,,,"[""documentation"", ""architecture diagrams"", ""standard operating procedures"", ""troubleshooting guides""]",,
C-024,C,,4.3.2,"Training courses must be provided for three user levels: end users, system
administrators, and security personnel.

4.3.
t be provided for three user levels: end users, system
administrators, and security personnel.",mandatory,deliverable,high,red,not_started,,,,,,"[""user levels"", ""training courses"", ""end users"", ""system administrators"", ""security personnel""]",,
C-025,C,,4.3.3,"Annual refresher training should be conducted for all system administrators
to address new features and updated procedures.",mandatory,management,high,red,not_started,,,,,,"[""refresher training"", ""system administrators"", ""new features"", ""updated procedures""]",,
C-026,C,,5.1,The contractor shall provide the following deliverables:,mandatory,deliverable,high,red,not_started,,,,,,"[""deliverables"", ""products"", ""reports""]",,
L-001,L,,1.1.1,"Proposals shall be submitted electronically through the System for Award
Management (SAM.gov) portal by the deadline specified in Section A.",mandatory,compliance,high,red,not_started,,,,,,"[""SAM.gov"", ""submit electronically""]",,
L-002,L,,1.1.2,"Late proposals will not be considered unless waived by the Contracting
Officer due to circumstances beyond the offeror's control.",mandatory,compliance,high,red,not_started,,,,,,"[""late proposals"", ""waived by the Contracting Officer""]",,
L-003,L,,1.1.3,"Proposals must be submitted in PDF format with individual file sizes not
exceeding 50 megabytes.",mandatory,deliverable,high,red,not_started,,,,,,"[""PDF format"", ""individual file sizes not exceeding 50 megabytes""]",,
L-004,L,,1.2.1,"The technical proposal shall be organized in the following order: executive
summary, technical approach, management approach, past performance, and staffing
plan.",mandatory,deliverable,high,red,not_started,,,,,,"[""executive summary"", ""technical approach"", ""management approach""]",,
L-005,L,,1.2.2,"The cost proposal must be submitted separately from the technical proposal
and include detailed cost breakdowns by CLIN, labor category, and other direct
costs.",mandatory,cost,high,yellow,not_started,,,,,,"[""CLIN"", ""labor category"", ""direct costs""]",,
L-006,L,,2.1.1,"Offerors shall describe their proposed solution architecture addressing all
requirements specified in Section C including cloud infrastructure, security
implementation, and integration approach.",mandatory,technical,high,red,not_started,,,,,,"[""solution architecture"", ""cloud infrastructure"", ""security implementation"", ""integration approach""]",,
L-007,L,,2.1.2,"The technical approach must demonstrate understanding of JADC2 operational
concepts and multi-domain integration challenges.",mandatory,technical,high,red,not_started,,,,,,"[""JADC2"", ""operational"", ""concepts"", ""multi-domain"", ""integration""]",,
L-008,L,,2.1.3,"Risk mitigation strategies should be provided for identified technical
challenges and potential obstacles.",mandatory,technical,high,red,not_started,,,,,,"[""Risk mitigation strategies"", ""identified technical challenges"", ""potential obstacles""]",,
L-009,L,,2.2.1,"Offerors shall provide an organizational chart showing proposed project
structure and reporting relationships.",mandatory,management,high,red,not_started,,,,,,"[""organizational chart"", ""project structure"", ""reporting relationships""]",,
L-010,L,,2.2.2,"Quality assurance procedures must be described including testing
methodologies, defect tracking, and continuous improvement processes.",mandatory,management,high,red,not_started,,,,,,"[""quality assurance"", ""testing methodologies"", ""defect tracking"", ""continuous improvement""]",,
L-011,L,,2.3.1,"Key personnel resumes shall include current security clearance levels and
relevant certifications such as CISSP, CISM, or DoD 8570.01-M requirements.",mandatory,compliance,high,red,not_started,,,,,,"[""security clearance"", ""certifications"", ""CISSP"", ""CISM"", ""DoD 8570.01-M""]",,
L-012,L,,2.3.2,"Labor mix should demonstrate appropriate balance of senior, mid-level, and
junior staff to accomplish required tasks cost-effectively.",mandatory,management,high,red,not_started,,,,,,"[""labor mix"", ""staff balance"", ""senior staff"", ""mid-level staff"", ""junior staff""]",,
L-013,L,,3.1.1,"Offerors shall provide at least three references for projects of similar
scope, complexity, and technical requirements completed within the past 3 years.",mandatory,deliverable,high,red,not_started,,,,,,"[""references"", ""similar scope"", ""technical requirements""]",,
L-014,L,,3.1.2,"Each reference must include contract number, customer point of contact,
contract value, period of performance, and brief description of work performed.",mandatory,deliverable,high,red,not_started,,,,,,"[""contract number"", ""customer point of contact"", ""contract value"", ""period of performance"", ""brief description""]",,
L-015,L,,4.1.1,"Questions regarding this solicitation must be submitted in writing through
SAM.gov no later than February 1, 2025.",mandatory,compliance,high,red,not_started,,,,,,"[""write"", ""submit"", ""SAM.gov"", ""February 1, 2025""]",,
M-001,M,,1.1,"The Government will evaluate proposals using a best-value tradeoff process
considering both technical and cost factors.",mandatory,management,high,red,not_started,,,,,,"[""best-value tradeoff"", ""technical factors"", ""cost factors""]",,
M-002,M,,2.1.1,"The Government shall evaluate the proposed solution architecture for
feasibility, innovation, and compliance with stated requirements.",mandatory,compliance,high,red,not_started,,,,,,"[""feasibility"", ""innovation"", ""stated requirements""]",,
M-003,M,,2.1.2,"Integration approach with existing DoD systems will be assessed for
technical soundness and risk mitigation.

2.1.
proach with existing DoD systems will be assessed for
technical soundness and risk mitigation.",mandatory,technical,high,red,not_started,,,,,,"[""integration"", ""DoD systems"", ""technical soundness"", ""risk mitigation""]",,
M-004,M,,2.1.3,"Proposed security implementation must demonstrate deep understanding of
FedRAMP High and NIST 800-53 requirements.",mandatory,compliance,high,red,not_started,,,,,,"[""FedRAMP High"", ""NIST 800-53"", ""deep understanding""]",,
M-005,M,,2.2.1,"The Government shall evaluate the project management plan for adequacy of
oversight, communication procedures, and quality assurance processes.",mandatory,management,high,red,not_started,,,,,,"[""oversight"", ""communication procedures"", ""quality assurance processes""]",,
M-006,M,,2.2.2,"Proposed organizational structure should demonstrate clear lines of
authority and efficient decision-making processes.",mandatory,management,high,red,not_started,,,,,,"[""organizational structure"", ""authority lines"", ""decision-making processes""]",,
M-007,M,,2.3.1,"Past performance shall be evaluated based on quality of work, schedule
adherence, cost control, and customer satisfaction.",mandatory,management,high,red,not_started,,,,,,"[""past performance"", ""quality of work"", ""schedule adherence"", ""cost control"", ""customer satisfaction""]",,
M-008,M,,2.3.2,"Recent and relevant contracts will be weighted more heavily than older or
less relevant experience.",mandatory,management,high,red,not_started,,,,,,"[""weight"", ""experience"", ""relevance"", ""contract""]",,
M-009,M,,2.3.3,"Offerors with no past performance history may be evaluated neutrally
neither favorably nor unfavorably.",optional,management,low,green,not_started,,,,,,"[""past performance history"", ""neutral evaluation""]",,
M-010,M,,2.4.1,"The Government shall assess the qualifications, experience, and security
clearances of proposed key personnel.",mandatory,compliance,high,red,not_started,,,,,,"[""qualifications"", ""experience"", ""security clearances"", ""key personnel""]",,
M-011,M,,2.4.2,"Relevant certifications and specialized training in JADC2 or similar
multi-domain systems will be considered favorably.",recommended,compliance,high,yellow,not_started,,,,,,"[""certifications"", ""specialized training"", ""JADC2"", ""multi-domain systems""]",,
M-012,M,,3.1.1,"The Government will evaluate proposed costs for realism, reasonableness,
and completeness.",mandatory,cost,high,yellow,not_started,,,,,,"[""realism"", ""reasonableness"", ""completeness""]",,
M-013,M,,3.1.2,"Unrealistically low prices may result in proposal rejection if determined
to reflect insufficient understanding of requirements.",mandatory,cost,high,red,not_started,,,,,,"[""unrealistically low prices"", ""proposal rejection"", ""insufficient understanding of requirements""]",,
M-014,M,,4.1.1,"Award shall be made to the offeror whose proposal represents the best value
to the Government considering technical merit and cost.",mandatory,cost,high,yellow,not_started,,,,,,"[""best value"", ""technical merit"", ""cost""]",,
M-015,M,,4.1.2,"The Government may conduct discussions with offerors in the competitive
range or make award without discussions.
nt may conduct discussions with offerors in the competitive
range or make award without discussions.

================================================================================
END OF SOLICITATION
================================================================================",optional,management,high,red,not_started,,,,,,"[""discussions"", ""award""]",,
